town,flat_type,storey_range,flat_model,floor_area_sqft,remaining_lease_months,nearest_pri_dist,nearest_mrt_dist,nearest_supermarket_dist,nearest_mall_dist,nearest_hawker_dist,price_per_sqft
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,696,718,1645,373,1440,140,318.9211922
ANG MO KIO,3 ROOM,01 TO 03,Improved,645.834,792,451,1439,473,1783,408,363.8705921
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,708,563,890,277,981,566,330.0141032
ANG MO KIO,3 ROOM,10 TO 12,Improved,656.5979,793,451,1439,473,1783,408,365.5205111
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,728,661,429,1265,1836,431,327.8933997
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,712,547,674,445,776,381,335.5605588
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,727,504,749,716,997,703,341.5556247
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,780,632,731,783,1939,292,350.8133114
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,708,563,890,277,981,566,357.7463808
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,769,695,1450,730,1539,435,357.7463808
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,712,110,1243,645,1321,422,360.5196086
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,716,799,954,514,1044,368,360.5196086
ANG MO KIO,3 ROOM,13 TO 15,New Generation,731.9452,721,95,1180,583,1282,535,355.2178496
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,713,529,466,477,568,534,360.5196086
ANG MO KIO,3 ROOM,07 TO 09,New Generation,796.5286,700,409,1639,559,1434,523,328.9272978
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,732,345,1169,700,1205,646,358.6334059
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,780,632,731,783,1939,292,367.452678
ANG MO KIO,3 ROOM,10 TO 12,New Generation,721.1813,703,327,1557,501,1352,685,368.8392919
ANG MO KIO,3 ROOM,07 TO 09,New Generation,731.9452,781,297,1221,950,1193,523,367.5138521
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,697,718,1645,373,1440,140,374.3857474
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,733,408,1058,614,1094,589,368.8800746
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,775,569,1315,595,1404,308,381.3188168
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,706,504,832,76,627,674,391.0251139
ANG MO KIO,3 ROOM,04 TO 06,New Generation,796.5286,715,384,724,0,813,500,357.8025949
