Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Albury,13.4,22.9,0.6,W,44,W,WNW,20,24,1007.7,1007.1,16.9,21.8,No,No
Albury,7.4,25.1,0,WNW,44,NNW,WSW,4,22,1010.6,1007.8,17.2,24.3,No,No
Albury,12.9,25.7,0,WSW,46,W,WSW,19,26,1007.6,1008.7,21,23.2,No,No
Albury,9.2,28,0,NE,24,SE,E,11,9,1017.6,1012.8,18.1,26.5,No,No
Albury,17.5,32.3,1,W,41,ENE,NW,7,20,1010.8,1006,17.8,29.7,No,No
Albury,14.6,29.7,0.2,WNW,56,W,W,19,24,1009.2,1005.4,20.6,28.9,No,No
Albury,14.3,25,0,W,50,SW,W,20,24,1009.6,1008.2,18.1,24.6,No,No
Albury,7.7,26.7,0,W,35,SSE,W,6,17,1013.4,1010.1,16.3,25.5,No,No
Albury,9.7,31.9,0,NNW,80,SE,NW,7,28,1008.9,1003.6,18.3,30.2,No,Yes
Albury,13.1,30.1,1.4,W,28,S,SSE,15,11,1007,1005.7,20.1,28.2,Yes,No
Albury,13.4,30.4,0,N,30,SSE,ESE,17,6,1011.8,1008.7,20.4,28.8,No,Yes
Albury,15.9,21.7,2.2,NNE,31,NE,ENE,15,13,1010.5,1004.2,15.9,17,Yes,Yes
Albury,15.9,18.6,15.6,W,61,NNW,NNW,28,28,994.3,993,17.4,15.8,Yes,Yes
Albury,12.6,21,3.6,SW,44,W,SSW,24,20,1001.2,1001.8,15.8,19.8,Yes,No
Albury,8.4,24.6,0,NA,NA,S,WNW,4,30,1009.7,1008.7,15.9,23.5,No,NA
Albury,9.8,27.7,NA,WNW,50,NA,WNW,NA,22,1013.4,1010.3,17.3,26.2,NA,No
Albury,14.1,20.9,0,ENE,22,SSW,E,11,9,1012.2,1010.4,17.2,18.1,No,Yes
Albury,13.5,22.9,16.8,W,63,N,WNW,6,20,1005.8,1002.2,18,21.5,Yes,Yes
Albury,11.2,22.5,10.6,SSE,43,WSW,SW,24,17,1009.4,1009.7,15.5,21,Yes,No
Albury,9.8,25.6,0,SSE,26,SE,NNW,17,6,1019.2,1017.1,15.8,23.2,No,No
Albury,11.5,29.3,0,S,24,SE,SE,9,9,1019.3,1014.8,19.1,27.3,No,No
Albury,17.1,33,0,NE,43,NE,N,17,22,1013.6,1008.1,24.5,31.6,No,No
Albury,20.5,31.8,0,WNW,41,W,W,19,20,1007.8,1005.7,23.8,30.8,No,No
Albury,15.3,30.9,0,N,33,ESE,NW,6,13,1011,1008.2,20.9,29,No,No
Albury,12.6,32.4,0,W,43,E,W,4,19,1012.9,1010.1,21.5,31.2,No,No
Albury,16.2,33.9,0,WSW,35,SE,WSW,9,13,1010.9,1007.6,23.2,33,No,No
Albury,16.9,33,0,WSW,57,NA,W,0,26,1006.8,1003.6,26.6,31.2,No,No
Albury,20.1,32.7,0,WNW,48,N,WNW,13,30,1005.2,1001.7,24.6,32.1,No,No
Albury,19.7,27.2,0,WNW,46,NW,WSW,19,30,1004.8,1004.2,21.6,26.1,No,Yes
Albury,12.5,24.2,1.2,WNW,50,WSW,SW,11,22,1005.6,1003.4,12.5,18.2,Yes,No
Albury,12,24.4,0.8,W,39,WNW,WNW,17,17,1006.1,1005.1,16.9,22.7,No,No
Albury,11.3,26.5,0,WNW,56,W,WNW,19,31,1004.5,1003.2,19.7,25.7,No,No
Albury,9.6,23.9,0,W,41,WSW,SSW,19,11,1014.4,1013.1,14.9,22.1,No,No
Albury,10.5,28.8,0,SSE,26,SSE,E,11,7,1018.7,1014.8,17.1,26.5,No,No
Albury,12.3,34.6,0,WNW,37,SSE,NW,6,17,1015.1,1010.3,20.7,33.9,No,No
Albury,12.9,35.8,0,WNW,41,ENE,NW,6,26,1012.6,1009.2,22.4,34.4,No,No
